table,grid,condition,item,metric,value,n,ci_low,ci_high,standard_deviation,minimum,maximum,qaoa_mean,exact_global,hedges_g,median,level,rank
5,2x2,$\alpha=0.5$,QAOA - Exact Classical Global,throughput,-3.15,20,-5.45,-2.0,,,,1024.85,1028.0,-0.5879886577355969,,,
5,2x2,$\alpha=0.7$,QAOA - Exact Classical Global,average_travel_time,-0.9765000000000015,20,-1.6664999999999999,-0.20500000000000257,,,,96.3935,97.37,-0.5490177052022511,,,
5,2x2,$\alpha=0.7$,QAOA - Exact Classical Global,average_waiting_time,-0.34749999999999803,20,-0.5205124999999973,-0.14297499999999855,,,,38.662499999999994,39.01,-0.753143958598841,,,
5,2x2,$\alpha=0.7$,QAOA - Exact Classical Global,throughput,14.35,20,5.6,22.102499999999964,,,,942.35,928.0,0.7133168888906867,,,
5,2x2,$\alpha=1.0$,QAOA - Exact Classical Global,average_travel_time,-0.5119999999999948,20,-0.847999999999994,-0.0639999999999958,,,,91.36800000000001,91.88,-0.5346812897723733,,,
5,2x2,$\alpha=1.0$,QAOA - Exact Classical Global,average_waiting_time,-0.5580000000000027,20,-0.717000000000003,-0.3460000000000022,,,,38.03200000000001,38.59,-1.2314063194875662,,,
5,2x2,$\alpha=1.0$,QAOA - Exact Classical Global,throughput,8.4,20,6.8,9.6,,,,719.4,711.0,2.456192174891859,,,
5,3x3,$\alpha=0.5$,QAOA - Exact Classical Global,average_travel_time,13.308000000000012,20,9.876462500000011,16.922562500000005,,,,170.50799999999998,157.2,1.5611610671557856,,,
5,3x3,$\alpha=0.5$,QAOA - Exact Classical Global,average_waiting_time,1.6149999999999995,20,1.1839749999999987,2.061524999999999,,,,42.365,40.75,1.5207656684959956,,,
5,3x3,$\alpha=0.5$,QAOA - Exact Classical Global,throughput,121.85,20,105.64875,138.15124999999998,,,,1138.85,1017.0,3.0353321369436963,,,
5,3x3,$\alpha=0.7$,QAOA - Exact Classical Global,average_travel_time,1.0259999999999991,20,-1.6045125000000056,3.4100125000000023,,,,197.496,196.47,0.16938223500455238,,,
5,3x3,$\alpha=0.7$,QAOA - Exact Classical Global,average_waiting_time,0.20600000000000024,20,-0.14251250000000007,0.5055000000000007,,,,43.746,43.54,0.2608282483657997,,,
5,3x3,$\alpha=0.7$,QAOA - Exact Classical Global,throughput,39.9,20,26.798750000000002,54.2,,,,979.9,940.0,1.217646472265846,,,
5,3x3,$\alpha=1.0$,QAOA - Exact Classical Global,average_travel_time,-0.8464999999999904,20,-1.9644999999999897,0.29101250000000944,,,,134.63349999999997,135.48,-0.30345383357654293,,,
5,3x3,$\alpha=1.0$,QAOA - Exact Classical Global,average_waiting_time,0.003000000000001535,20,-0.3229999999999979,0.32300000000000145,,,,40.513000000000005,40.51,0.0038162709535602803,,,
5,3x3,$\alpha=1.0$,QAOA - Exact Classical Global,throughput,6.55,20,1.95,11.25,,,,1014.55,1008.0,0.5711459203619695,,,
5,2x2,Seattle full day,QAOA - Exact Classical Global,average_travel_time,-1.6785000000000019,20,-1.9535250000000017,-1.3820000000000026,,,,53.991499999999995,55.67,-2.411618445329663,,,
5,2x2,Seattle full day,QAOA - Exact Classical Global,average_waiting_time,-1.3810000000000013,20,-1.545500000000001,-1.1995000000000011,,,,18.809,20.19,-3.2874857414459417,,,
5,2x2,Seattle full day,QAOA - Exact Classical Global,throughput,-26.8,20,-40.9,-13.29875000000002,,,,63158.2,63185.0,-0.7968000618916488,,,
5,3x3,Seattle full day,QAOA - Exact Classical Global,average_travel_time,-1.4905000000000015,20,-1.777000000000001,-1.1839875000000006,,,,92.95950000000002,94.45,-2.028605492119111,,,
5,3x3,Seattle full day,QAOA - Exact Classical Global,average_waiting_time,-1.7849999999999995,20,-1.9459999999999986,-1.6075,,,,28.395,30.18,-4.265170985684186,,,
5,3x3,Seattle full day,QAOA - Exact Classical Global,throughput,-32.65,20,-108.25125,45.55124999999998,,,,95594.35,95627.0,-0.1753096344369332,,,
6,2x2,alpha=0.7,QAOA optimization quality,average_exact_min_energy,-92.1307575,20,,,,,,,,,,,
6,2x2,alpha=0.7,QAOA optimization quality,average_selected_energy,-92.05721416666667,20,,,,,,,,,,,
6,2x2,alpha=0.7,QAOA optimization quality,average_optimality_gap,0.07354333333333334,20,,,,,,,,,0.06724999999999998,,
6,2x2,alpha=0.7,QAOA optimization quality,optimum_recovery_rate,0.9940000000000001,20,0.993,0.9950000000000001,,,,,,,,,
6,3x3,alpha=0.7,QAOA optimization quality,average_exact_min_energy,-206.84392583333334,20,,,,,,,,,,,
6,3x3,alpha=0.7,QAOA optimization quality,average_selected_energy,-183.52047916666666,20,,,,,,,,,,,
6,3x3,alpha=0.7,QAOA optimization quality,average_optimality_gap,23.323446666666666,20,,,,,,,,,24.078200000000002,,
